model,variant,mae_kcal_per_100g,mae_protein_g,mae_carb_g,mae_fat_g,mae_avg
naive,original,97.9676742553711,5.261066436767578,16.041175842285156,7.011927127838135,31.57046127319336
naive,crop_80,97.9676742553711,5.261066436767578,16.041175842285156,7.011927127838135,31.57046127319336
naive,crop_60,97.9676742553711,5.261066436767578,16.041175842285156,7.011927127838135,31.57046127319336
naive,zoom_out,97.9676742553711,5.261066436767578,16.041175842285156,7.011927127838135,31.57046127319336
classical,original,90.28658294677734,4.92269229888916,14.761390686035156,6.765864372253418,29.184131622314453
classical,crop_80,90.13129425048828,4.909582138061523,14.760897636413574,6.768798828125,29.142642974853516
classical,crop_60,91.04839324951172,4.939594745635986,15.08979320526123,6.8235554695129395,29.47533416748047
classical,zoom_out,99.59673309326172,5.086790084838867,16.33549690246582,7.185299396514893,32.05107879638672
deep,original,39.547874450683594,2.3601930141448975,6.432298183441162,3.2590253353118896,12.899847030639648
deep,crop_80,39.721954345703125,2.36871337890625,6.516590118408203,3.2686872482299805,12.968986511230469
deep,crop_60,41.58506393432617,2.4684832096099854,6.799816131591797,3.389320135116577,13.560670852661133
deep,zoom_out,56.16899490356445,3.2363932132720947,9.22365951538086,4.632751941680908,18.315448760986328
